Direct Bom:1395A3078401
Revision:X07  Sequence:8
BU Code:EBG
Lv,Direct BOM,Main Part,Rev.,Seq.,Part Full Desc.,Qty.,Subsitution Part,Inst. Point,HSF Property
1,1395A3078401,6019B0460301,A02,1,"IC,SHUNT REGULATOR,ADJ,SOT-23F,3P,TR",1,-,"PU895",HalogenFree+RoHS2
1,1395A3078401,13X5A3078401,X07,8,"MOD,MLB,GULMOHAR 2.0 2L,2009",1,-,-,RoHS2
1,1395A3078401,6012B1055302,A01,2,"CONNECTOR,POWER CARD EDGE,7.5mm,FL,9A,BLK,50P,2.54mm,90D,PIP,TRAY,LCP,GXT,30U,3.5mm",2,-,"PJ768,PJ775",RoHS2
1,1395A3078401,6019B0856001,A01,6,"IC,VOLTAGE TRANSLATOR,8BIT,TSSOP,20P,TR",2,-,"U80,U81",HalogenFree+RoHS2
1,1395A3078401,6014B0066101,A01,6,"BEAD,330OHM,+/-25%,1.2A,0.15OHM,1608mm,100MHz,TR",2,-,"L2,L3",HalogenFree+RoHS2
1,1395A3078401,6014B0021901,A01,8,"BEAD,120OHM,+/-25%,2A,0.05OHM,1608mm,100MHz,TR",1,-,"L105",HalogenFree+RoHS2
1,1395A3078401,6011B0022002,A02,1,"DIODE,SCH,30V,200mA,200mW,5ns,SMD,SOT-23,TR",4,-,"D3,D4,D5,D7",HalogenFree+RoHS2
1,1395A3078401,6015B0007101,A04,7,"TRANSISTOR,NPN,40V,200mA,SOT23,3P,TR",10,-,"Q2,Q3,Q6,Q7,Q32,Q124,Q127,Q128,Q129,Q130",HalogenFree+RoHS2
1,1395A3078401,6010B0623801,A01,2,"CAPACITOR-CHIP,0.01uF,16V,K,X7R,402,TR",3,-,"PC919,PC933,PC936",HalogenFree+RoHS2
1,1395A3078401,6019B0453801,A01,10,"IC,LINEAR REGULATOR,ADJ,0.8~5.5V,SON,11P,TR",2,-,"PU1299,PU1414",HalogenFree+RoHS2
1,1395A3078401,6019B1724701,A01,2,"IC,LOGIC,2000G,BGA,2882P,TRAY",1,-,"U113",HalogenFree+RoHS2
1,1395A3078401,6011B0101501,A03,1,"DIODE-ZNR,5.6V,50mA,0.004W,SMD,SOD123,TR",1,-,"D1",HalogenFree+RoHS2
1,1395A3078401,6010B0655101,A01,5,"CAPACITOR-CHIP,470pF,50V,K,X7R,402,TR,0.5mm",3,-,"C399,C1382,PC785",HalogenFree+RoHS2
1,1395A3078401,6019B1447901,A02,4,"IC,FANOUT BUFFER,2-OUTPUT,PCIE GEN1-4,VFQFPN,24P,TR",1,-,"U135",HalogenFree+RoHS2
1,1395A3078401,6013B1464901,A01,5,"RESISTOR-CHIP,4.99K,+/-1%,1/16W,402,TAP",3,-,"PR6,PR33,PR55",HalogenFree+RoHS2
1,1395A3078401,6013B1465001,A01,2,"RESISTOR-CHIP,4.99K,+/-1%,1/16W,402,TAP",10,-,"R103,R255,PR799,PR912,PR913,PR915,PR916,R2262,R2510,PR1519",HalogenFree+RoHS2
1,1395A3078401,6010B0618601,A01,5,"CAPACITOR-CHIP,0.1uF,16V,K,X7R,0402,TR,0.5mm",15,-,"PC1,PC2,PC3,PC82,PC97,PC100,PC107,PC114,PC129,PC132,PC139,PC146,PC161,PC164,PC171",HalogenFree+RoHS2
1,1395A3078401,6010B0718201,A01,4,"CAPACITOR-CHIP,47uF,4V,M,X6S,805,TR,1.25mm",65,-,"PC1099,PC1100,PC1102,PC1103,PC1105,PC1106,PC1108,PC1109,PC1111,PC1112,PC1114,PC1116,PC1119,PC1121,PC1123,PC1126,PC1128,PC1130,PC1132,PC1134,PC1138,PC1140,PC1142,PC1144,PC1147,PC1152,PC1156,PC1158,PC1160,PC1162,PC1164,PC1166,PC1167,PC1168,PC1170,PC1172,PC1174,PC1176,PC1178,PC1180,PC1182,PC1184,PC1186,PC1188,PC1190,PC1236,PC1237,PC1238,PC1239,PC1240,PC1241,PC1242,PC1243,PC1244,PC1245,PC1246,PC1247,PC1248,PC1249,PC1250,PC1251,PC1252,PC1253,PC1254,PC1255",HalogenFree+RoHS2
1,1395A3078401,6010B0688701,A01,6,"CAPACITOR-CHIP,3300pF,50V,K,X7R,402,TR,0.5mm",4,-,"PC866,PC938,PC1298,PC1413",HalogenFree+RoHS2
1,1395A3078401,6010B0154701,A01,5,"CAPACITOR-OS,270uF,16V,M,-55~+105C,8X6.9,SMD,TR,22mOhm,Y",4,-,"PC1230,PC1231,PC1234,PC1235",HalogenFree+RoHS2
1,1395A3078401,6010B0662901,A01,4,"CAPACITOR-CHIP,220pF,50V,K,X7R,402,TR",1,-,"PC886",HalogenFree+RoHS2
1,1395A3078401,6013B1680801,A01,3,"RESISTOR-CHIP,2.94K,+/-0.1%,1/16W,0402,TR,+/-50PPM/degreeC",1,-,"PR883",HalogenFree+RoHS2
1,1395A3078401,6013B1439601,A01,2,"RESISTOR-CHIP,3.57K,+/-1%,1/16W,402,TAP",2,-,"PR1303,PR1418",HalogenFree+RoHS2
1,1395A3078401,6013B0160701,A01,9,"RESISTOR-CHIP,0,+/-1%,3.5A,1206,TR,+/-100PPM/degreeC",5,-,"R2416,R2431,R2446,R2458,R2573",HalogenFree+RoHS2
1,1395A3078401,6010B0618201,A01,5,"CAPACITOR-CHIP,0.1uF,16V,K,X7R,0402,TR,0.5mm",55,-,"C17,C18,C976,C979,C981,C996,C997,PC24,PC31,PC37,C1018,C1019,C1020,C1234,C1236,C1252,C1253,C1254,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1317,C1324,C1331,C1335,C1378,C1512,C1514,C2070,C2071,PC329,PC345,PC739,PC783,PC790,PC795,PC975,PC991,PC1043,PC1059,PC1077,PC1093,PC1227,PC1233,PC1289,PC1295,PC1310,PC1405,PC1411,PC1423",HalogenFree+RoHS2
1,1395A3078401,6010B0626301,A01,6,"CAPACITOR-CHIP,0.01uF,25V,K,X7R,402,TR",4,-,"C998,C999,C1000,C1001",HalogenFree+RoHS2
1,1395A3078401,6010B0717101,A01,3,"CAPACITOR-CHIP,22uF,4V,M,X6S,0603,TR,0.8mm",65,-,"PC1125,PC1127,PC1129,PC1131,PC1133,PC1137,PC1139,PC1141,PC1143,PC1146,PC1148,PC1149,PC1150,PC1151,PC1155,PC1157,PC1159,PC1161,PC1163,PC1165,PC1169,PC1171,PC1173,PC1175,PC1177,PC1179,PC1181,PC1183,PC1185,PC1187,PC1189,PC1191,PC1192,PC1193,PC1194,PC1195,PC1197,PC1199,PC1201,PC1203,PC1207,PC1209,PC1211,PC1213,PC1215,PC1268,PC1269,PC1270,PC1271,PC1272,PC1273,PC1274,PC1275,PC1276,PC1277,PC1278,PC1279,PC1280,PC1281,PC1282,PC1283,PC1284,PC1285,PC1286,PC1287",HalogenFree+RoHS2
1,1395A3078401,6010B0788301,A01,2,"CAPACITOR-CHIP,2.2uF,10V,K,X7R,0603,TR,0.8mm",2,-,"C1237,PC794",HalogenFree+RoHS2
1,1395A3078401,6010B1132501,A01,3,"CAPACITOR-CHIP,1uF,10V,K,X5R,0402,TR,0.5mm",7,-,"C6,C8,C9,C11,C13,C488,C489",HalogenFree+RoHS2
1,1395A3078401,6013B1400101,A01,3,"RESISTOR-CHIP,1K,+/-1%,1/16W,402,TAP",109,-,"R163,R164,R230,R231,R232,R269,R270,R275,R284,R312,R314,R318,R320,R321,R322,R327,R328,R335,R336,R342,R347,R350,R471,R474,R531,R532,R533,R534,R535,R536,R537,R538,R539,R540,R545,R550,R559,R579,R581,R697,R698,R699,R700,R701,R702,R703,R704,R705,R706,R707,R708,R709,R710,R711,R712,R713,R714,R715,R716,R717,R718,R719,R720,R721,R722,R723,R724,R725,R751,R753,PR917,PR920,PR934,R1015,R1054,R1055,R1066,R1067,R1068,R1155,R1158,R1159,R1167,R1169,R1865,R1866,R2095,R2096,R2097,R2099,R2100,R2212,R2285,R2286,R2287,R2288,R2289,R2290,R2302,R2357,R2360,R2414,R2429,R2444,R2456,R2586,R2620,R2621,R2622",HalogenFree+RoHS2
1,1395A3078401,6014B0245503,A01,4,"INDUCTOR,55nH,+/-20%,100KHz,35A,5.5X5.7X4.6mm,SMD,TR",1,-,"PL1229",HalogenFree+RoHS2
1,1395A3078401,6013B1591601,A01,3,"RESISTOR-CHIP,10K,+/-1%,1/16W,0402,TR,+/-200PPM/degreeC",22,-,"R243,R315,R433,PR450,PR463,R1056,R1057,R1058,R1059,R1060,R1156,R1157,R1162,R1164,R2606,R2607,R2609,R2612,R2614,R2623,R2624,R2625",HalogenFree+RoHS2
1,1395A3078401,6013B1400001,A01,4,"RESISTOR-CHIP,1K,+/-1%,1/16W,402,TAP",3,-,"PR102,PR134,PR166",HalogenFree+RoHS2
1,1395A3078401,6013B1786701,A01,3,"RESISTOR-CHIP,4.7K,+/-1%,1/16W,402,TR,+/-300PPM/degreeC",647,-,"R20,R21,R25,R26,R31,R57,R58,R59,R60,R61,R62,R63,R72,R86,R87,R93,R96,R99,R100,R106,R112,R115,R116,R118,R125,R126,R135,R159,R160,R181,R182,R183,R184,R195,R214,R215,R233,R234,R239,R240,R250,R252,R272,R273,R276,R277,R280,R281,R301,R302,R305,R309,R324,R326,R329,R332,R333,R337,R338,R339,R340,R341,R348,R349,R354,R355,R416,R418,R431,R432,R435,R436,R437,R438,R465,R466,R541,R542,R543,R544,R546,R547,R548,R549,R555,R556,R557,R570,R572,R575,R576,R585,R586,R589,R590,R591,R592,R593,R594,R596,R597,R598,R599,R600,R601,R602,R603,R605,R606,R607,R608,R609,R610,R611,R612,R613,R614,R615,R616,R617,R618,R619,R620,R621,R622,R623,R624,R625,R626,R627,R628,R629,R630,R631,R632,R633,R634,R635,R636,R637,R638,R639,R640,R641,R642,R643,R644,R645,R646,R647,R648,R649,R650,R651,R652,R653,R654,R655,R656,R657,R658,R659,R660,R661,R662,R663,R664,R665,R666,R667,R668,R669,R670,R671,R672,R673,R674,R675,R676,R677,R678,R679,R680,R681,R682,R683,R684,R685,R686,R687,R688,R689,R690,R691,R692,R696,R735,R736,R737,R738,R739,R740,R741,R744,R745,R746,R750,R773,R774,R785,R786,R789,R790,R814,R815,R818,R819,R822,R824,R826,R827,R839,R840,R841,R842,R843,R863,R866,R869,R871,R872,R875,R877,R878,R879,R885,R890,R891,R892,R893,R896,R897,R898,R899,R906,R907,R908,R911,R912,R913,R914,R921,R922,R923,R932,R950,R972,R973,R974,R975,PR776,PR780,R1009,R1033,R1034,R1035,R1044,R1045,R1046,R1047,R1048,R1049,R1053,R1061,R1064,R1075,R1078,R1079,R1080,R1081,R1084,R1085,R1086,R1087,R1129,R1130,R1152,R1153,R1165,R1170,R1171,R1173,R1174,R1177,R1178,R1179,R1180,R1184,R1188,R1189,R1190,R1191,R1194,R1195,R1196,R1197,R1198,R1201,R1206,R1207,R1208,R1209,R1212,R1213,R1214,R1215,R1217,R1218,R1224,R1225,R1227,R1238,R1240,R1249,R1250,R1252,R1256,R1260,R1261,R1262,R1263,R1266,R1267,R1268,R1269,R1278,R1279,R1280,R1281,R1285,R1286,R1287,R1288,R1289,R1291,R1292,R1296,R1297,R1302,R1303,R1304,R1305,R1306,R1310,R1314,R1315,R1316,R1317,R1320,R1321,R1322,R1323,R1324,R1332,R1333,R1334,R1335,R1338,R1339,R1340,R1341,R1345,R1350,R1351,R1352,R1353,R1356,R1357,R1358,R1359,R1360,R1364,R1368,R1369,R1370,R1371,R1374,R1375,R1376,R1377,R1378,R1386,R1387,R1388,R1389,R1392,R1393,R1394,R1395,R1399,R1400,R1401,R1402,R1427,R1428,R1429,R1430,R1455,R1456,R1458,R1459,R1460,R1504,R1505,R1508,R1509,R1512,R1514,R1516,R1518,R1520,R1521,R1532,R1533,R1536,R1537,R1542,R1544,R1546,R1548,R1549,R1560,R1561,R1564,R1565,R1568,R1570,R1572,R1573,R1574,R1576,R1577,R1616,R1617,R1620,R1621,R1624,R1626,R1628,R1630,R1632,R1633,R1634,R1635,R1636,R1647,R1648,R1651,R1652,R1653,R1654,R1656,R1658,R1660,R1661,R1672,R1673,R1676,R1677,R1678,R1680,R1682,R1684,R1686,R1688,R1689,R1703,R1777,R1778,R1876,R1881,R1882,R1883,R1884,R1890,R1891,R1892,R1893,R1895,R1896,R1898,R1902,R1903,R1917,R1919,R1921,R1944,R1945,R1946,R1962,R1965,R1966,R1967,R1968,R1991,R1992,R1995,R1996,R2002,R2004,R2005,R2009,R2010,R2011,R2012,R2013,R2018,R2019,R2025,R2027,R2028,R2031,R2032,R2033,R2035,R2036,R2039,R2040,R2042,R2044,R2051,R2058,R2061,R2062,R2063,R2066,R2067,R2068,R2069,R2072,R2237,R2238,R2260,R2268,R2276,R2277,R2278,R2279,R2280,R2281,R2282,R2283,R2300,R2301,R2304,R2305,R2306,R2307,R2308,R2309,R2310,R2311,R2312,R2313,R2314,R2315,R2316,R2317,R2318,R2319,R2320,R2321,R2322,R2323,R2324,R2325,R2326,R2327,R2328,R2329,R2330,R2331,R2332,R2333,R2334,R2335,R2336,R2341,R2342,R2343,R2344,R2345,R2346,R2347,R2348,R2349,R2350,R2351,R2352,R2354,R2364,R2365,R2370,R2371,R2372,R2373,R2374,R2384,R2421,R2424,R2425,R2436,R2439,R2441,R2449,R2450,R2452,R2464,R2465,R2468,R2472,R2473,R2482,R2483,R2484,R2485,R2487,R2492,R2493,R2496,R2501,R2512,R2513,R2514,R2515,R2570,R2578,R2580,R2583,R2591,PR1300,PR1415,PR1450,PR1451,PR1463,PR1514,PR1518",HalogenFree+RoHS2
1,1395A3078401,6010B0797001,A01,3,"CAPACITOR-CHIP,22uF,25V,M,X5R,805,TR,1.25mm",3,-,"PC885,PC887,PC888",HalogenFree+RoHS2
1,1395A3078401,6013B1538601,A01,3,"RESISTOR-CHIP,0,+/-5%,0.5A,0201,TR",4,-,"R2565,R2566,R2569,R2571",HalogenFree+RoHS2
1,1395A3078401,6010B1097901,A01,7,"CAPACITOR-CHIP,1000pF,50V,K,X7R,0402,TR,0.5mm",7,-,"C1314,C1321,C1328,C1332,C1375,PC809,PC1471",HalogenFree+RoHS2
1,1395A3078401,6010B0636001,A01,3,"CAPACITOR-CHIP,100pF,50V,J,NP0,402,TR",2,-,"PC935,PC955",HalogenFree+RoHS2
1,1395A3078401,6019B0555901,A02,1,"IC,TEMPERATURE SENSOR,2.8V_5.5V,I2C+SMBUS,MSOP,8P,TR",4,-,"U2,U21,U22,U126",HalogenFree+RoHS2
1,1395A3078401,6019B0191603,A01,3,"IC,SWITCH,8 CHANNEL,I2C,TSSOP,24P,TR",8,-,"U12,U18,U23,U28,U38,U41,U44,U47",HalogenFree+RoHS2
